"Species"	"Genus"	"Family"	"Order"	"Class"	"Phylum"	"Domain"
"0-14-0-10-38-17 sp"	"0-14-0-10-38-17"	"0-14-0-10-38-17"	"Shapirobacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"0-14-0-20-40-13 sp"	"0-14-0-20-40-13"	"0-14-0-20-40-13"	"0-14-0-20-40-13"	"WWE3"	"Patescibacteria"	"Bacteria"
"0-14-0-20-44-26 sp"	"0-14-0-20-44-26"	"CG03"	"CG03"	"CG03"	"CG03"	"Bacteria"
"0-14-0-20-45-22 sp"	"0-14-0-20-45-22"	"UBA2242"	"UBA2242"	"UBA2242"	"Marinisomatota"	"Bacteria"
"0-14-0-20-51-18 sp"	"0-14-0-20-51-18"	"UBA9959"	"Elusimicrobiales"	"Elusimicrobia"	"Elusimicrobiota"	"Bacteria"
"0-14-0-80-42-15 sp"	"0-14-0-80-42-15"	"0-14-0-80-42-15"	"UBA1560"	"Koll11"	"Omnitrophota"	"Bacteria"
"0-14-0-80-59-12 sp"	"0-14-0-80-59-12"	"0-14-0-80-59-12"	"0-14-0-80-59-12"	"UBA10030"	"Bacteroidota"	"Bacteria"
"0-14-0-80-60-11 sp"	"0-14-0-80-60-11"	"0-14-0-80-60-11"	"Desulfobaccales"	"Desulfobaccia"	"Desulfobacterota"	"Bacteria"
"0-14-3-00-41-53 sp"	"0-14-3-00-41-53"	"SM23-35"	"Thermodesulfovibrionales"	"Thermodesulfovibrionia"	"Nitrospirota"	"Bacteria"
"0-14-3-00-62-12 sp"	"0-14-3-00-62-12"	"Ahniellaceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"01-FULL-36-10b sp"	"01-FULL-36-10b"	"UBA1006"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-36-15b sp"	"01-FULL-36-15b"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-38-12b sp"	"01-FULL-38-12b"	"Staskawiczbacteraceae"	"Paceibacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-39-12b sp"	"01-FULL-39-12b"	"2-02-FULL-39-11"	"2-02-FULL-39-11"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-43-11b sp"	"01-FULL-43-11b"	"UBA927"	"UBA10105"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-43-15b sp"	"01-FULL-43-15b"	"UBA10165"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-44-24b sp"	"01-FULL-44-24b"	"UBA8517"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-45-10b sp"	"01-FULL-45-10b"	"01-FULL-45-10b"	"Omnitrophales"	"Omnitrophia"	"Omnitrophota"	"Bacteria"
"01-FULL-45-15b sp"	"01-FULL-45-15b"	"UBA11359"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-45-25b sp"	"01-FULL-45-25b"	"GWB1-50-10"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-45-34b sp"	"01-FULL-45-34b"	"UBA11359"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-48-32b sp"	"01-FULL-48-32b"	"Amesbacteraceae"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"01-FULL-49-22b sp"	"01-FULL-49-22b"	"UBA10102"	"Paceibacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"01-FULL-54-110 sp"	"01-FULL-54-110"	"Peribacteraceae"	"Peribacterales"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"02-FULL-45-10c sp"	"02-FULL-45-10c"	"02-FULL-45-10c"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"02-FULL-45-11b sp"	"02-FULL-45-11b"	"UBA6539"	"Buchananbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"02-FULL-45-17b sp"	"02-FULL-45-17b"	"2-02-FULL-48-12"	"Ryanbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-34-10 sp"	"1-14-0-10-34-10"	"UBA1400"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"1-14-0-10-36-11 sp"	"1-14-0-10-36-11"	"UBA2196"	"UBA2196"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-36-16 sp"	"1-14-0-10-36-16"	"IGHO2-01-FULL-4-A"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-36-19 sp"	"1-14-0-10-36-19"	"LOWO2-01-FULL-3"	"UBA1369"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-36-32 sp"	"1-14-0-10-36-32"	"GWA2-37-8"	"Magasanikbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-37-14 sp"	"1-14-0-10-37-14"	"UBA917"	"BM507"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-40-38 sp"	"1-14-0-10-40-38"	"1-14-0-10-40-38"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-41-10 sp"	"1-14-0-10-41-10"	"2-01-FULL-50-11"	"UBA920"	"Doudnabacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-41-12 sp"	"1-14-0-10-41-12"	"1-14-0-10-41-12"	"UBA1384"	"UBA1384"	"Patescibacteria"	"Bacteria"
"1-14-0-10-41-28 sp"	"1-14-0-10-41-28"	"Colwellbacteraceae"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-42-12 sp"	"1-14-0-10-42-12"	"Zambryskibacteraceae"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-42-19 sp"	"1-14-0-10-42-19"	"1-14-0-10-42-19"	"WO2-41-13"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-42-22 sp"	"1-14-0-10-42-22"	"Colwellbacteraceae"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-10 sp"	"1-14-0-10-43-10"	"XYC2-FULL-47-12"	"BM507"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-11 sp"	"1-14-0-10-43-11"	"XYC2-FULL-47-12"	"BM507"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-13 sp"	"1-14-0-10-43-13"	"XYA2-FULL-43-10"	"XYA2-FULL-43-10"	"UBA1384"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-42 sp"	"1-14-0-10-43-42"	"2-02-FULL-48-12"	"Ryanbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-44-23 sp"	"1-14-0-10-44-23"	"1-14-0-10-44-23"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-45-20 sp"	"1-14-0-10-45-20"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-45-34 sp"	"1-14-0-10-45-34"	"1-14-0-10-45-34"	"Bdellovibrionales"	"Bdellovibrionia"	"Bdellovibrionota"	"Bacteria"
"1-14-0-10-46-23 sp"	"1-14-0-10-46-23"	"IGHO2-12-FULL-4"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-46-36 sp"	"1-14-0-10-46-36"	"1-14-0-10-42-19"	"WO2-41-13"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-47-10 sp"	"1-14-0-10-47-10"	"UBA922"	"Magasanikbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-47-16 sp"	"1-14-0-10-47-16"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-48-11 sp"	"1-14-0-10-48-11"	"GWA2-46-9"	"GWA2-46-9"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-49-15 sp"	"1-14-0-10-49-15"	"1-14-0-10-44-23"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-49-17 sp"	"1-14-0-10-49-17"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-51-16 sp"	"1-14-0-10-51-16"	"UBA12445"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-55-24 sp"	"1-14-0-10-55-24"	"Peribacteraceae"	"Peribacterales"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-56-10 sp"	"1-14-0-10-56-10"	"PJMF01"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"1-14-0-20-35-14 sp"	"1-14-0-20-35-14"	"XYB1-36-10"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-20-39-34 sp"	"1-14-0-20-39-34"	"UBA922"	"Magasanikbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-20-39-49 sp"	"1-14-0-20-39-49"	"UBA6187"	"Rickettsiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"1-14-0-20-42-13 sp"	"1-14-0-20-42-13"	"1-14-0-20-42-13"	"1-14-0-20-42-13"	"Koll11"	"Omnitrophota"	"Bacteria"
"1-14-0-20-42-23 sp"	"1-14-0-20-42-23"	"2-02-FULL-44-16"	"2-02-FULL-44-16"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-45-15 sp"	"1-14-0-20-45-15"	"Nitrospinaceae"	"Nitrospinales"	"Nitrospinia"	"Nitrospinota"	"Bacteria"
"1-14-0-20-45-16 sp"	"1-14-0-20-45-16"	"UBA2394"	"UBA2394"	"UBA2394"	"Bdellovibrionota"	"Bacteria"
"1-14-0-20-45-26 sp"	"1-14-0-20-45-26"	"1-14-0-20-45-26"	"Omnitrophales"	"Omnitrophia"	"Omnitrophota"	"Bacteria"
"1-14-0-20-46-22 sp"	"1-14-0-20-46-22"	"UBA12402"	"UBA12402"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"1-14-0-20-47-16 sp"	"1-14-0-20-47-16"	"1-14-0-20-47-16"	"GCA-002796325"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-49-13 sp"	"1-14-0-20-49-13"	"1-14-0-20-49-13"	"GCA-002796325"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-64-10 sp"	"1-14-0-20-64-10"	"1-14-0-20-64-10"	"1-14-0-20-64-10"	"Koll11"	"Omnitrophota"	"Bacteria"
"1-14-0-65-60-17 sp"	"1-14-0-65-60-17"	"UBA10348"	"Rhodothermales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"1-14-0-65-65-10 sp"	"1-14-0-65-65-10"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
